2024-03-17 16:05:18.763 INFO  (qtp1415289182-19-null-22) [c: s: r: x:restaurants t:null-22] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=3&wt=javabin&version=2} hits=3 status=0 QTime=0
2024-03-17 16:05:39.879 INFO  (qtp1415289182-20-null-23) [c: s: r: x:restaurants t:null-23] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:*Pat*&start=0&rows=0&wt=javabin&version=2} hits=1 status=0 QTime=50
2024-03-17 16:05:39.885 INFO  (qtp1415289182-19-null-24) [c: s: r: x:restaurants t:null-24] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:*Pat*&start=0&rows=1&wt=javabin&version=2} hits=1 status=0 QTime=1
2024-03-17 16:05:48.430 INFO  (qtp1415289182-20-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:*Test*&start=0&rows=0&wt=javabin&version=2} hits=2 status=0 QTime=7
2024-03-17 16:05:48.439 INFO  (qtp1415289182-19-null-26) [c: s: r: x:restaurants t:null-26] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:*Test*&start=0&rows=2&wt=javabin&version=2} hits=2 status=0 QTime=4
2024-03-17 16:07:09.924 INFO  (qtp1415289182-20-null-27) [c: s: r: x:restaurants t:null-27] o.a.s.c.S.Request webapp=/solr path=/select params={q=id:3971c7d9\-c8c3\-47f0\-8c76\-7a7fbc50dc4f&start=0&rows=1&wt=javabin&version=2} hits=1 status=0 QTime=7
2024-03-17 16:07:09.954 INFO  (qtp1415289182-19-null-28) [c: s: r: x:restaurants t:null-28] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[3971c7d9-c8c3-47f0-8c76-7a7fbc50dc4f (1793790186549673984)]} 0 23
2024-03-17 16:07:09.989 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-29) [c: s: r: x:restaurants t:null-29] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:07:09.993 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-29) [c: s: r: x:restaurants t:null-29] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:07:10.001 INFO  (qtp1415289182-20-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 44
